TIMEOUT after 300.3s (bound 300s, killed by timeout(1)/gtimeout)
deck: ss_125c_3.63v-run0.spice


Note: Compatibility modes selected: hs a


Circuit: * ro-array-core-mc-freq-extracted-routed @ ss_125c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vsup                                      3.63
en                                        3.63
vddr1                                     3.63
vddr2                                     3.63
vdd                                       3.63
xdut.xr1.xcore.\$15                1.54411e-06
xdut.xr1.xcore.a\x7cy__t0                    0
xdut.xr1.xcore.a\x7cy__t02             3.62999
vsubs                                0.0704385
xdut.xr1.xcore.vddr__t0                   3.63
xdut.xr1.xcore.vss__t0             2.93487e-09
xdut.xr1.xcore.\$17                3.30132e-07
xdut.xr1.xcore.a\x7cy__t32             3.62999
xdut.xr1.xcore.a\x7cy__t13         3.79259e-07
xdut.xr1.xcore.vddr__t21                  3.63
xdut.xr1.xcore.vss__t21            5.24267e-10
xdut.xr1.xcore.\$18                1.93304e-06
xdut.xr1.xcore.a\x7cy__t33         3.79387e-07
xdut.xr1.xcore.a\x7cy__t14             3.62999
xdut.xr1.xcore.vddr__t20                  3.63
xdut.xr1.xcore.vss__t20            1.83824e-09
xdut.xr1.xcore.\$20                3.55095e-07
xdut.xr1.xcore.a\x7cy__t34             3.62999
xdut.xr1.xcore.a\x7cy__t15         4.08344e-07
xdut.xr1.xcore.vddr__t19                  3.63
xdut.xr1.xcore.vss__t19             1.8422e-10
xdut.xr1.xcore.\$21                1.51991e-06
xdut.xr1.xcore.a\x7cy__t35         4.08485e-07
xdut.xr1.xcore.a\x7cy__t16             3.62999
xdut.xr1.xcore.vddr__t18                  3.63
xdut.xr1.xcore.vss__t18            9.01684e-11
xdut.xr1.xcore.\$22                2.95396e-07
xdut.xr1.xcore.a\x7cy__t36             3.62999
xdut.xr1.xcore.a\x7cy__t17         3.39544e-07
xdut.xr1.xcore.vddr__t17                  3.63
xdut.xr1.xcore.vss__t17            1.65855e-10
xdut.xr1.xcore.\$24                1.47811e-06
xdut.xr1.xcore.a\x7cy__t37         3.39655e-07
xdut.xr1.xcore.a\x7cy__t18             3.62999
xdut.xr1.xcore.vddr__t16                  3.63
xdut.xr1.xcore.vss__t16            1.46387e-09
xdut.xr1.xcore.\$23                3.10347e-07
xdut.xr1.xcore.a\x7cy__t38             3.62999
xdut.xr1.xcore.a\x7cy__t19         3.58068e-07
xdut.xr1.xcore.vddr__t15                  3.63
xdut.xr1.xcore.vss__t15            5.07195e-10
xdut.xr1.xcore.\$19                1.06757e-06
xdut.xr1.xcore.a\x7cy__t39         3.58186e-07
xdut.xr1.xcore.a\x7cy__t110               3.63
xdut.xr1.xcore.vddr__t14                  3.63
xdut.xr1.xcore.vss__t14            2.09954e-09
xdut.xr1.xcore.\$16                 3.4918e-07
xdut.xr1.xcore.a\x7cy__t310               3.63
xdut.xr1.xcore.a\x7cy__t311         4.0147e-07
xdut.xr1.xcore.vddr__t13                  3.63
xdut.xr1.xcore.vss__t13            9.20519e-10
